tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,2015,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,10423,14908,AUS,SNA,141.5555556,297.4486656,WN,0.379905808,310.1309917,AA,0.313971743,295.43675
Table 1a,2015,1,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,10423,15070,AUS,SWF,3.222222222,251,DL,0.965517241,243.1785714,DL,0.965517241,243.1785714
Table 1a,2015,1,30423,33195,"Austin, TX","Tampa, FL (Metropolitan Area)",928,10423,15304,AUS,TPA,270.5555556,214.9977823,WN,0.666529774,214.9918053,UA,0.118685832,203.2730104
Table 1a,2015,1,30466,31775,"Phoenix, AZ","Sioux Falls, SD",1081,10466,11775,AZA,FSD,253,145.9099693,G4,1,145.9099693,G4,1,145.9099693
Table 1a,2015,1,30466,30928,"Phoenix, AZ","Wichita, KS",870,10466,12278,AZA,ICT,90.66666667,103.627451,G4,1,103.627451,G4,1,103.627451
Table 1a,2015,1,30466,32457,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",668,10466,13796,AZA,OAK,88.77777778,83.11514393,G4,1,83.11514393,G4,1,83.11514393
Table 1a,2015,1,30529,32575,"Hartford, CT","Los Angeles, CA (Metropolitan Area)",2527,10529,10800,BDL,BUR,6.666666667,351.7133333,WN,0.933333333,340.6571429,WN,0.933333333,340.6571429
Table 1a,2015,1,30529,30852,"Hartford, CT","Washington, DC (Metropolitan Area)",326,10529,10821,BDL,BWI,304.2222222,159.7068663,WN,0.990504018,159.22441,WN,0.990504018,159.22441
Table 1a,2015,1,30529,30852,"Hartford, CT","Washington, DC (Metropolitan Area)",326,10529,11278,BDL,DCA,485.8888889,137.6310085,US,0.601875143,147.043655,B6,0.367482278,119.9351587
Table 1a,2015,1,30529,32467,"Hartford, CT","Miami, FL (Metropolitan Area)",1194,10529,11697,BDL,FLL,895,179.2244693,B6,0.510490379,188.7370866,WN,0.358783364,162.1257785
Table 1a,2015,1,30529,31453,"Hartford, CT","Houston, TX",1519,10529,12191,BDL,HOU,63.11111111,252.7059859,WN,0.76056338,245.1386574,WN,0.76056338,245.1386574
Table 1a,2015,1,30529,30852,"Hartford, CT","Washington, DC (Metropolitan Area)",326,10529,12264,BDL,IAD,54.88888889,190.8856275,UA,0.955465587,192.3076271,US,0.016194332,163.65
Table 1a,2015,1,30529,31453,"Hartford, CT","Houston, TX",1519,10529,12266,BDL,IAH,106.5555556,328.4399374,UA,0.408759124,392.4931122,US,0.214807091,264.4558252
Table 1a,2015,1,30529,32575,"Hartford, CT","Los Angeles, CA (Metropolitan Area)",2527,10529,12892,BDL,LAX,323.3333333,295.9775258,US,0.21443299,281.1147436,WN,0.14742268,265.0909091
Table 1a,2015,1,30529,32575,"Hartford, CT","Los Angeles, CA (Metropolitan Area)",2527,10529,12954,BDL,LGB,1.777777778,376.875,US,0.6875,295.2727273,US,0.6875,295.2727273
Table 1a,2015,1,30529,32467,"Hartford, CT","Miami, FL (Metropolitan Area)",1194,10529,13303,BDL,MIA,252.1111111,209.1409872,AA,0.49052446,218.536478,US,0.317320405,182.7194444
Table 1a,2015,1,30529,32457,"Hartford, CT","San Francisco, CA (Metropolitan Area)",2625,10529,13796,BDL,OAK,26,314.9709402,WN,0.91025641,312.6478873,WN,0.91025641,312.6478873
Table 1a,2015,1,30529,32575,"Hartford, CT","Los Angeles, CA (Metropolitan Area)",2527,10529,13891,BDL,ONT,19.88888889,323.7731844,WN,0.48603352,299.9218391,WN,0.48603352,299.9218391
Table 1a,2015,1,30529,30466,"Hartford, CT","Phoenix, AZ",2213,10529,14107,BDL,PHX,233.1111111,320.0582459,WN,0.325548141,282.5948755,WN,0.325548141,282.5948755
Table 1a,2015,1,30529,32457,"Hartford, CT","San Francisco, CA (Metropolitan Area)",2625,10529,14771,BDL,SFO,162.8888889,355.3184857,UA,0.344474761,353.3221782,WN,0.103683492,329.2236842
Table 1a,2015,1,30529,32457,"Hartford, CT","San Francisco, CA (Metropolitan Area)",2625,10529,14831,BDL,SJC,25.66666667,386.1186147,AA,0.329004329,430.1578947,WN,0.294372294,356.1852941
Table 1a,2015,1,30529,32575,"Hartford, CT","Los Angeles, CA (Metropolitan Area)",2527,10529,14908,BDL,SNA,65,358.2389744,DL,0.331623932,383.0634021,UA,0.227350427,301.062406
